,Company,Availble Jobs,Average Salary,Rating,Total Reviews
668,HCLTech,282,3.7L,3.4,(44k)
669,Tech Mahindra,432,2.8L,3.4,(42k)
670,Genpact,371,2.3L,3.6,(40.4k)
671,Teleperformance,850,95.1k,3.8,(36.2k)
672,Axis Bank,219,1L,3.6,(32k)
673,Jio,3,62.2k,4.3,(31.5k)
674,Concentrix Corporation,73,1.3L,3.6,(31.3k)
675,Amazon,1.4k,1.4L,3.9,(30.4k)
676,iEnergizer,72,23.9k,4.6,(27.3k)
677,Reliance Retail,33,74.3k,3.9,(26.8k)
678,IBM,2.6k,2.1L,3.9,(25.2k)
679,LTIMindtree,474,1.9L,3.6,(25.2k)
680,TCS,3k,9.6L,3.4,(1.1L)
681,Accenture,32.5k,6.4L,3.7,(70.5k)
682,Wipro,5.6k,4.7L,3.6,(62.6k)
683,Cognizant,836,5.9L,3.6,(59.5k)
684,Capgemini,2.1k,4.7L,3.7,(51.1k)
685,HDFC Bank,198,1.5L,3.8,(50k)
686,Infosys,2.9k,5.1L,3.5,(46.8k)
687,ICICI Bank,32,1.5L,4.0,(44.9k)
688,HCLTech,282,3.7L,3.4,(44k)
689,Tech Mahindra,432,2.8L,3.4,(42k)
690,Genpact,371,2.3L,3.6,(40.4k)
691,Teleperformance,850,95.1k,3.8,(36.2k)
692,Axis Bank,219,1L,3.6,(32k)
693,Jio,3,62.2k,4.3,(31.5k)
694,Concentrix Corporation,73,1.3L,3.6,(31.3k)
695,Amazon,1.4k,1.4L,3.9,(30.4k)
696,iEnergizer,72,23.9k,4.6,(27.3k)
697,Reliance Retail,33,74.3k,3.9,(26.8k)
698,IBM,2.6k,2.1L,3.9,(25.2k)
699,LTIMindtree,474,1.9L,3.6,(25.2k)
700,TCS,3k,9.6L,3.4,(1.1L)
701,Accenture,32.5k,6.4L,3.7,(70.5k)
702,Wipro,5.6k,4.7L,3.6,(62.6k)
703,Cognizant,836,5.9L,3.6,(59.5k)
704,Capgemini,2.1k,4.7L,3.7,(51.1k)
705,HDFC Bank,198,1.5L,3.8,(50k)
706,Infosys,2.9k,5.1L,3.5,(46.8k)
707,ICICI Bank,32,1.5L,4.0,(44.9k)
708,HCLTech,282,3.7L,3.4,(44k)
709,Tech Mahindra,432,2.8L,3.4,(42k)
710,Genpact,371,2.3L,3.6,(40.4k)
711,Teleperformance,850,95.1k,3.8,(36.2k)
712,Axis Bank,219,1L,3.6,(32k)
713,Jio,3,62.2k,4.3,(31.5k)
714,Concentrix Corporation,73,1.3L,3.6,(31.3k)
715,Amazon,1.4k,1.4L,3.9,(30.4k)
716,iEnergizer,72,23.9k,4.6,(27.3k)
717,Reliance Retail,33,74.3k,3.9,(26.8k)
718,IBM,2.6k,2.1L,3.9,(25.2k)
719,LTIMindtree,474,1.9L,3.6,(25.2k)
720,TCS,3k,9.6L,3.4,(1.1L)
721,Accenture,32.5k,6.4L,3.7,(70.5k)
722,Wipro,5.6k,4.7L,3.6,(62.6k)
723,Cognizant,836,5.9L,3.6,(59.5k)
724,Capgemini,2.1k,4.7L,3.7,(51.1k)
725,HDFC Bank,198,1.5L,3.8,(50k)
726,Infosys,2.9k,5.1L,3.5,(46.8k)
727,ICICI Bank,32,1.5L,4.0,(44.9k)
728,HCLTech,282,3.7L,3.4,(44k)
729,Tech Mahindra,432,2.8L,3.4,(42k)
730,Genpact,371,2.3L,3.6,(40.4k)
731,Teleperformance,850,95.1k,3.8,(36.2k)
732,Axis Bank,219,1L,3.6,(32k)
733,Jio,3,62.2k,4.3,(31.5k)
734,Concentrix Corporation,73,1.3L,3.6,(31.3k)
735,Amazon,1.4k,1.4L,3.9,(30.4k)
736,iEnergizer,72,23.9k,4.6,(27.3k)
737,Reliance Retail,33,74.3k,3.9,(26.8k)
738,IBM,2.6k,2.1L,3.9,(25.2k)
739,LTIMindtree,474,1.9L,3.6,(25.2k)
740,TCS,3k,9.6L,3.4,(1.1L)
741,Accenture,32.5k,6.4L,3.7,(70.5k)
742,Wipro,5.6k,4.7L,3.6,(62.6k)
743,Cognizant,836,5.9L,3.6,(59.5k)
