,Company,Availble Jobs,Average Salary,Rating,Total Reviews
273,Jio,3,62.2k,4.3,(31.5k)
274,Concentrix Corporation,73,1.3L,3.6,(31.3k)
275,Amazon,1.4k,1.4L,3.9,(30.4k)
276,iEnergizer,72,23.9k,4.6,(27.3k)
277,Reliance Retail,33,74.3k,3.9,(26.8k)
278,IBM,2.6k,2.1L,3.9,(25.2k)
279,LTIMindtree,474,1.9L,3.6,(25.2k)
280,TCS,3k,9.6L,3.4,(1.1L)
281,Accenture,32.5k,6.4L,3.7,(70.5k)
282,Wipro,5.6k,4.7L,3.6,(62.6k)
283,Cognizant,836,5.9L,3.6,(59.5k)
284,Capgemini,2.1k,4.7L,3.7,(51.1k)
285,HDFC Bank,198,1.5L,3.8,(50k)
286,Infosys,2.9k,5.1L,3.5,(46.8k)
287,ICICI Bank,32,1.5L,4.0,(44.9k)
288,HCLTech,282,3.7L,3.4,(44k)
289,Tech Mahindra,432,2.8L,3.4,(42k)
290,Genpact,371,2.3L,3.6,(40.4k)
291,Teleperformance,850,95.1k,3.8,(36.2k)
292,Axis Bank,219,1L,3.6,(32k)
293,Jio,3,62.2k,4.3,(31.5k)
294,Concentrix Corporation,73,1.3L,3.6,(31.3k)
295,Amazon,1.4k,1.4L,3.9,(30.4k)
296,iEnergizer,72,23.9k,4.6,(27.3k)
297,Reliance Retail,33,74.3k,3.9,(26.8k)
298,IBM,2.6k,2.1L,3.9,(25.2k)
299,LTIMindtree,474,1.9L,3.6,(25.2k)
300,TCS,3k,9.6L,3.4,(1.1L)
301,Accenture,32.5k,6.4L,3.7,(70.5k)
302,Wipro,5.6k,4.7L,3.6,(62.6k)
303,Cognizant,836,5.9L,3.6,(59.5k)
304,Capgemini,2.1k,4.7L,3.7,(51.1k)
305,HDFC Bank,198,1.5L,3.8,(50k)
306,Infosys,2.9k,5.1L,3.5,(46.8k)
307,ICICI Bank,32,1.5L,4.0,(44.9k)
308,HCLTech,282,3.7L,3.4,(44k)
309,Tech Mahindra,432,2.8L,3.4,(42k)
310,Genpact,371,2.3L,3.6,(40.4k)
311,Teleperformance,850,95.1k,3.8,(36.2k)
312,Axis Bank,219,1L,3.6,(32k)
313,Jio,3,62.2k,4.3,(31.5k)
314,Concentrix Corporation,73,1.3L,3.6,(31.3k)
315,Amazon,1.4k,1.4L,3.9,(30.4k)
316,iEnergizer,72,23.9k,4.6,(27.3k)
317,Reliance Retail,33,74.3k,3.9,(26.8k)
318,IBM,2.6k,2.1L,3.9,(25.2k)
319,LTIMindtree,474,1.9L,3.6,(25.2k)
320,TCS,3k,9.6L,3.4,(1.1L)
321,Accenture,32.5k,6.4L,3.7,(70.5k)
322,Wipro,5.6k,4.7L,3.6,(62.6k)
323,Cognizant,836,5.9L,3.6,(59.5k)
324,Capgemini,2.1k,4.7L,3.7,(51.1k)
325,HDFC Bank,198,1.5L,3.8,(50k)
326,Infosys,2.9k,5.1L,3.5,(46.8k)
327,ICICI Bank,32,1.5L,4.0,(44.9k)
328,HCLTech,282,3.7L,3.4,(44k)
329,Tech Mahindra,432,2.8L,3.4,(42k)
330,Genpact,371,2.3L,3.6,(40.4k)
331,Teleperformance,850,95.1k,3.8,(36.2k)
332,Axis Bank,219,1L,3.6,(32k)
333,Jio,3,62.2k,4.3,(31.5k)
334,Concentrix Corporation,73,1.3L,3.6,(31.3k)
335,Amazon,1.4k,1.4L,3.9,(30.4k)
336,iEnergizer,72,23.9k,4.6,(27.3k)
337,Reliance Retail,33,74.3k,3.9,(26.8k)
338,IBM,2.6k,2.1L,3.9,(25.2k)
339,LTIMindtree,474,1.9L,3.6,(25.2k)
340,TCS,3k,9.6L,3.4,(1.1L)
341,Accenture,32.5k,6.4L,3.7,(70.5k)
342,Wipro,5.6k,4.7L,3.6,(62.6k)
343,Cognizant,836,5.9L,3.6,(59.5k)
344,Capgemini,2.1k,4.7L,3.7,(51.1k)
345,HDFC Bank,198,1.5L,3.8,(50k)
346,Infosys,2.9k,5.1L,3.5,(46.8k)
347,ICICI Bank,32,1.5L,4.0,(44.9k)
348,HCLTech,282,3.7L,3.4,(44k)
349,Tech Mahindra,432,2.8L,3.4,(42k)
350,Genpact,371,2.3L,3.6,(40.4k)
351,Teleperformance,850,95.1k,3.8,(36.2k)
352,Axis Bank,219,1L,3.6,(32k)
353,Jio,3,62.2k,4.3,(31.5k)
