iter	Logloss
179	0.5042192535
180	0.504031615
181	0.5038613794
182	0.5037222463
183	0.5035840182
184	0.5034914079
185	0.5033129731
186	0.5032180972
187	0.50306588
188	0.5029281214
189	0.5028347707
190	0.5027264096
191	0.5026306367
192	0.5024004848
193	0.5022850915
194	0.5021908216
195	0.502059014
196	0.5019087309
197	0.5017751845
198	0.5016897423
199	0.5015046097
200	0.5014175579
201	0.5013361184
202	0.5012325598
203	0.5010828693
204	0.5009456993
205	0.5007529255
206	0.5006760239
207	0.5005855388
208	0.500445281
209	0.5002868367
210	0.500168346
211	0.5000491064
212	0.4999327202
213	0.4998493481
214	0.4997142935
215	0.4995119898
216	0.4994222641
217	0.4992412428
218	0.4991186565
219	0.4989442089
220	0.4988532451
221	0.4986259001
222	0.4984676165
223	0.4982923507
224	0.4982034891
225	0.4981270572
226	0.498004577
227	0.4978661273
228	0.4978161904
229	0.4977945691
230	0.4976651999
231	0.4974875757
232	0.4973943697
233	0.4971748945
234	0.4970636154
235	0.4969365279
236	0.4967395288
237	0.4966415553
238	0.4964875037
239	0.4963232625
240	0.4961880235
241	0.4961365992
242	0.4960106324
243	0.4959503008
244	0.4958205705
245	0.4956935784
246	0.4954988561
247	0.4952948548
248	0.4951350308
249	0.4950007056
250	0.4949979404
251	0.4948979246
252	0.4947640091
253	0.4946312402
254	0.494467609
255	0.4943165753
256	0.4941814877
257	0.4940465614
258	0.4938944413
259	0.4937444389
260	0.4935809308
261	0.4934282383
262	0.4933373255
263	0.4932379349
264	0.4931415123
265	0.4930561976
266	0.4929522226
267	0.4928599157
268	0.4927647383
269	0.4926608978
270	0.4925492298
271	0.4923533255
272	0.4922730848
273	0.4921505701
274	0.4920673292
275	0.4919141394
276	0.4917906335
277	0.4917298681
278	0.4916615944
279	0.4915500292
280	0.4913453893
281	0.49118109
282	0.4910049982
283	0.4908673865
284	0.4907024483
285	0.4906170712
286	0.4904327228
287	0.4902964124
288	0.4901391914
289	0.4900367396
290	0.489922639
291	0.4898504517
292	0.4897298656
293	0.4896095574
294	0.489536026
295	0.4893597656
296	0.4892394105
297	0.4890802798
298	0.4889752038
299	0.488868546
300	0.4887527169
301	0.4885630553
302	0.488459198
303	0.4882444895
304	0.4881183219
305	0.4880220043
306	0.4879300597
307	0.4878051436
308	0.4876733293
309	0.487511461
310	0.4873867899
311	0.4872016102
312	0.4870850788
313	0.4869334548
314	0.4867887133
315	0.4867188129
316	0.486528362
317	0.4863254128
318	0.4861133448
319	0.4859426939
320	0.4858531591
321	0.4857600301
322	0.4856209236
323	0.4854895538
324	0.4853630762
325	0.4852433737
326	0.4851601271
327	0.4850217888
328	0.4848312439
329	0.4847686528
330	0.4846625995
331	0.4845437388
332	0.4844371656
333	0.4843195951
334	0.4842211029
335	0.4841393409
336	0.4840597145
337	0.4839218898
338	0.483814628
339	0.4836822358
340	0.4835949444
341	0.4834425111
342	0.4833252228
343	0.483158177
344	0.4829764687
345	0.4828757533
346	0.4827003608
347	0.4825608436
348	0.4823441197
349	0.4822224485
350	0.4819756166
351	0.4817789288
352	0.4816569705
353	0.4815394062
354	0.4814132354
355	0.4812700122
356	0.4811919688
357	0.4810253697
358	0.4808698429
359	0.4807938159
360	0.4806334896
361	0.4804865375
362	0.4803465609
363	0.480127714
364	0.4799375543
365	0.479693835
366	0.4795193036
